,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0003q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2301473711058133,,,,,,,,,,,,,,,,,,,
0008q.L^H00,0.0650327671526012,-0.0650327671526012,12.0,,,,0.8433013372713098,-35.38862559241712,,,1.3322888458772189,,,0.0258124916410325,,0.8384474167322316,0.0856070087609511,,,,,,0.5848268021933908,,1.412259660736475e-06,,,,,,,,,,,,,,,-0.2269809779437506,0.8047032083224055,,,,30.86137440758289,67.47927461139875,8.711371237458186,,
0010q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1025926321232039,,,,,,,,,,,,,,,,,,,
0011q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012q.L^J08,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4645791057379703,,,,,,,,,,,,,,,,,,,
0013q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9326081288852618,,,,,,,,,,,,,,,,,,,
0016q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8434347880564487,,,,,,,,,,,,,,,,,,,
0017q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3100349641337845,,,,,,,,,,,,,,,,,,,
0018q.L^F97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0269967175021429,,,,,,,,,,,,,,,,,,,
0020q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1628752545176767,,,,,,,,,,,,,,,,,,,
0023q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499721622356149,,,,,,,,,,,,,,,,,,,
0054q.L^J08,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126687816063349,,,,,,,,,,,,,,,,,,,
0066q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083q.L^J08,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1154473915362761,,,,,,,,,,,,,,,,,,,
0101q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1078042208228912,,,,,,,,,,,,,,,,,,,
0191q.L^H97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125968952411389,,,,,,,,,,,,,,,,,,,
0267q.L^J08,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291q.L^J08,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
