,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0003q.L^J08,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1156387074880176,,,,,,,,,,,,,,,,,,,
0008q.L^H00,0.0650327671526012,-0.0650327671526012,12.0,,,,0.8433013372713098,-35.38862559241712,,,1.3543622731996017,,,0.0258124916410325,,0.8384474167322316,0.0856070087609511,,,,,,0.5848268021933908,,1.591553538662851e-06,,,,,,,,,,,,,,,-0.2269809779437506,0.8047032083224055,,,,30.86137440758289,67.47927461139875,8.711371237458186,,
0010q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0551168083370849,,,,,,,,,,,,,,,,,,,
0011q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012q.L^J08,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2245040794236339,,,,,,,,,,,,,,,,,,,
0013q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4533756790843844,,,,,,,,,,,,,,,,,,,
0016q.L^J08,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4314575549801985,,,,,,,,,,,,,,,,,,,
0017q.L^J08,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144769499664453,,,,,,,,,,,,,,,,,,,
0018q.L^F97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0146180163089156,,,,,,,,,,,,,,,,,,,
0020q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0841397997415885,,,,,,,,,,,,,,,,,,,
0023q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0267984685569288,,,,,,,,,,,,,,,,,,,
0054q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0836483708062095,,,,,,,,,,,,,,,,,,,
0066q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0438608327899005,,,,,,,,,,,,,,,,,,,
