,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0003q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2143400268180322,,,,,,,,,,,,,,,,,,,
0008q.L^H00,0.0309661888609257,-0.0309661888609257,13.0,,,,0.7966196007511985,-202.8796840408056,,,1.0121365491796932,,,0.0229237334500492,,0.8662569505414157,0.0871635889832409,,,,,,0.5252489331436688,,1.553470858640964e-06,,,,,,,,,,,,,,,-0.1189950593924108,0.835601404741006,,,,157.46111111111085,67.64439140811449,8.498650674662674,,
0010q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114032029622031,,,,,,,,,,,,,,,,,,,
0011q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012q.L^J08,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5663606399823988,,,,,,,,,,,,,,,,,,,
0013q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997502440980552,,,,,,,,,,,,,,,,,,,
0016q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0300941564908888,,,,,,,,,,,,,,,,,,,
0017q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3512016237074215,,,,,,,,,,,,,,,,,,,
0018q.L^F97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0338364881169921,,,,,,,,,,,,,,,,,,,
0020q.L^J08,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1813968025411065,,,,,,,,,,,,,,,,,,,
0023q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0593977420613003,,,,,,,,,,,,,,,,,,,
0054q.L^J08,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1056313158497233,,,,,,,,,,,,,,,,,,,
0066q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083q.L^J08,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1271746724653871,,,,,,,,,,,,,,,,,,,
0101q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118302515948214,,,,,,,,,,,,,,,,,,,
0191q.L^H97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0150553350016746,,,,,,,,,,,,,,,,,,,
0267q.L^J08,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291q.L^J08,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0293q.L^J08,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2152916408100576,,,,,,,,,,,,,,,,,,,
0325q.L^E05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
