company name,ric,ric1(ticker),isin,cusip,gvkey
Kibo Energy PLC,KIBO.L,KIBO,IE00B97C0C31,0.0,298085
AvangardCo Investments Public Ltd,AVGRq.L,AVGRq,US05349V2097,0.0,294529
Shaftesbury Capital PLC,SHCS.L,SHCS,GB00B62G9D36,0.0,208331
Ilika PLC,IKA.L,IKA,GB00B608Z994,0.0,294629
Capital Ltd,CAPD.L,CAPD,BMG022411000,0.0,294789
Jupiter Fund Management PLC,JUP.L,JUP,GB00B53P2009,0.0,294873
Tialis Essential IT PLC,TIA.L,TIA,GB00BN4M3M55,0.0,294959
Ocado Group PLC,OCDO.L,OCDO,GB00B3MBS747,0.0,295113
GCP Infrastructure Investments Ltd,GCPI.L,GCPI,JE00B6173J15,0.0,295118
DP Poland PLC,DPP.L,DPP,GB00B3Q74M51,0.0,346879
Argos Resources Ltd,ARGR.L,ARGR,FK0114538241,0.0,295167
Scancell Holdings PLC,SCLP.L,SCLP,GB00B63D3314,0.0,296031
Central Asia Metals PLC,CAML.L,CAML,GB00B67KBV28,0.0,295487
Avation PLC,AVAP.L,AVAP,GB00B196F554,0.0,290956
Mercantile Ports & Logistics Ltd,MPL.L,MPL,GG00BKSH7R87,0.0,295551
Instem PLC,INS.L,INS,GB00B3TQCK30,0.0,295588
Savannah Resources Plc,SAVS.L,SAVS,GB00B647W791,0.0,295745
Foresight Solar & Technology VCT PLC,FTSV.L,FTSV,GB00B640GZ49,0.0,313841
Gama Aviation PLC,GMAA.L,GMAA,GB00B3ZP1526,0.0,295821
Zanaga Iron Ore Company Ltd,ZIOC.L,ZIOC,VGG9888M1023,0.0,295894
TMT Investments PLC,TMTI.L,TMTI,JE00B3RQZ289,0.0,296113
Hummingbird Resources PLC,HUMR.L,HUMR,GB00B60BWY28,0.0,296078
Europa Metals Ltd,EUZ.L,EUZ,AU0000090060,0.0,274497
BlackRock Frontiers Investment Trust PLC,BRFI.L,BRFI,GB00B3SXM832,0.0,298131
Empire Metals Ltd,EEEE.L,EEEE,VGG3036T1012,0.0,298088
International Consolidated Airlines Group SA,ICAG.L,ICAG,ES0177542018,0.0,13145
Frontier IP Group PLC,FIPPG.L,FIPPG,GB00B63PS212,0.0,298090
Botswana Diamonds PLC,BODP.L,BODP,GB00B5TFC825,0.0,296739
Jersey Oil and Gas PLC,JOG.L,JOG,GB00BYN5YK77,0.0,297099
Sylvania Platinum Ltd,SLPL.L,SLPL,BMG864081044,0.0,253440
dotDigital Group PLC,DOTD.L,DOTD,GB00B3W40C23,0.0,296833
Microsaic Systems PLC,MSYS.L,MSYS,GB00B547ZY09,0.0,297235
Oracle Power PLC,ORCP.L,ORCP,GB00B23JN426,0.0,297672
Glencore PLC,GLEN.L,GLEN,JE00B4T3BW64,0.0,267407
Strategic Minerals PLC,SMLP.L,SMLP,GB00B4W8PD74,0.0,298038
Learning Technologies Group PLC,LTGL.L,LTGL,GB00B4T7HX10,0.0,298123
Genel Energy PLC,GENL.L,GENL,JE00B55Q3P39,0.0,298139
IQGeo Group PLC,IQG.L,IQG,GB00B3NCXX73,0.0,298190
Enteq Technologies PLC,NTQ.L,NTQ,GB00B41Q8Q68,0.0,298245
Smart Metering Systems PLC,SMSS.L,SMSS,GB00B4X1RC86,0.0,298282
Trinity Exploration and Production PLC,TRIN.L,TRIN,GB00BN7CJ686,0.0,298360
Keras Resources PLC,KRS.L,KRS,GB00BMY2T534,0.0,298362
Pembridge Resources PLC,PERE.L,PERE,GB00BG107324,0.0,298465
Great Western Mining Corporation PLC,GWMO.L,GWMO,IE00B1FR8863,0.0,310788
OptiBiotix Health PLC,OPTIO.L,OPTIO,GB00BP0RTP38,0.0,315900
Agronomics Ltd,ANIC.L,ANIC,IM00B6QH1J21,0.0,315899
Galileo Resources PLC,GLR.L,GLR,GB00B115T142,0.0,310401
Wentworth Resources PLC,WEN.L,WEN,JE00BGT34J81,0.0,273395
Polymetal International PLC,POLYP.L,POLYP,JE00B6T5S470,0.0,306389
Secure Trust Bank PLC,STBS.L,STBS,GB00B6TKHP66,0.0,306390
EVRAZ plc,EVRE.L,EVRE,GB00B71N6K86,0.0,273499
Inspired PLC,INSEI.L,INSEI,GB00BR2Q0V58,0.0,309402
Hawkwing PLC,HNG.L,HNG,GB00BLF0L315,0.0,310792
BBGI Global Infrastructure SA,BBGIB.L,BBGIB,LU0686550053,0.0,311360
Belvoir Group PLC,BLVB.L,BLVB,GB00B4QY1P51,0.0,311708
Bank of Georgia Group PLC,BGEO.L,BGEO,GB00BF4HYT85,0.0,311711
Rockfire Resources PLC,ROCKR.L,ROCKR,GB00B42TN250,0.0,311797
Bushveld Minerals Ltd,BMNB.L,BMNB,GG00B4TM3943,0.0,312043
Eden Research PLC,EDENE.L,EDENE,GB0001646941,0.0,237356
Deltic Energy PLC,DELT.L,DELT,GB00BNTY2N01,0.0,315903
WANdisco PLC,WAND.L,WAND,JE00B6Y3DV84,0.0,312806
Duke Royalty Ltd,DUKE.L,DUKE,GG00BYZSSY63,0.0,313830
Itaconix PLC,ITXI.L,ITXI,GB00B84LVH87,0.0,313218
Wishbone Gold PLC,WSBN.L,WSBN,GI000A2PX455,0.0,313840
Good Energy Group PLC,GOODG.L,GOODG,GB0033600353,0.0,314164
Ground Rents Income Fund PLC,GRIO.L,GRIO,GB00B715WG26,0.0,313845
Eco Buildings Group PLC,ECOB.L,ECOB,GB00BRJTP124,0.0,313540
Power Metal Resources PLC,POWP.L,POWP,GB00BYWJZ743,0.0,313833
