Company Name,RIC,RIC1(ticker),delisted MM,delisted YY,ISIN,CUSIP,SEDOL
DEA Capital Ord Shs,0E40.L^C23,0.00E+00,3,2023,IT0003891444,,
Club Mediterranee Ord Shs,0E01.L^F09,0.00E+00,6,2009,,,
Enedo Ord Shs,0E96.L^E23,0.00E+00,5,2023,,,
Drozapol Profil Ord Shs,0E71.L^K09,0.00E+00,11,2009,PLSKTAN00010,,
Terex Matl Handling and Port Solutions Ord Shs,0E37.L^K08,0.00E+00,11,2008,QQ0031565138,,
ECO Business Immbilien Ord Shs,0E87.L^C19,0.00E+00,3,2019,US0345531075,034553107,
Drozapol Profil Ord Shs,0E71.L^B09,0.00E+00,2,2009,GB0008876236,,
Eurobank Holdings Ord Shs,0E94.L^D10,0.00E+00,4,2010,NL0000303709,,
Continental Ord Shs,0E16.L^G09,0.00E+00,7,2009,DE0006299001,,
Dodoni Portfolio Investments Ord Shs,0E65.L^D21,0.00E+00,4,2021,IE0001671878,,
Public Power Corporation Ord Shs,0E46.L^G09,0.00E+00,7,2009,GRS083003012,,
CWHKT Common Stock,0008q.L^H00,0008q,8,2000,HK0019000162,,
PCCW Ord Shs,0008q.L^J08,0008q,10,2008,GB0006071996,,
Johnson Electric Holdings Ord Shs,0179q.L^J08,0179q,10,2008,GB00B07KD360,,
Johnson Electric Holdings Ord Shs,0179q.L^G01,0179q,7,2001,HK0267001375,,
CITIC Ord Shs,0267q.L^J08,0267q,10,2008,GB0003058137,,
CITIC Ord Shs,0267q.L^H96,0267q,8,1996,DE000A2LQ2L3,,
Li & Fung Ord Shs,0494q.L^H01,0494q,8,2001,MHY2294C1075,,
Li & Fung Ord Shs,0494q.L^K00,0494q,11,2000,PLSWMED00013,,
Li & Fung Ord Shs,0494q.L^J08,0494q,10,2008,CNE1000003K3,,
Fresenius Se and Co Kgaa Ord Shs,0B51.L^G08,0B51,7,2008,HRJMNCRA0009,,
Fresenius Se and Co Kgaa Ord Shs,0B51.L^K08,0B51,11,2008,PLPRNTC00017,,
Havas Ord Shs,0EE2.L^E09,0EE2,5,2009,,,
Havas Ord Shs,0EE2.L^B09,0EE2,2,2009,BE0974264930,,
GN Store Nord Ord Shs,0ELB.L^E09,0ELB,5,2009,,,
GN Store Nord Ord Shs,0ELB.L^E08,0ELB,5,2008,,,
Iliad Ord Shs,0ET9.L^B09,0ET9,2,2009,GB00B24CH603,,
Iliad Ord Shs,0ET9.L^D10,0ET9,4,2010,SE0000239543,,
Kontron Ord Shs,0EYI.L^E08,0EYI,5,2008,,,
Kontron Ord Shs,0EYI.L^H17,0EYI,8,2017,IT0003317945,,
SIAS Ord Shs,0G0W.L^E08,0G0W,5,2008,,,
SIAS Ord Shs,0G0W.L^A20,0G0W,1,2020,GB0030645864,,
WireCard Ord Shs,0GIP.L^H08,0GIP,8,2008,GB00B128C026,,
WireCard Ord Shs,0GIP.L^K08,0GIP,11,2008,PLKOMPP00017,,
Feelgood Svenska Ord Shs,0GMR.L^A08,0GMR,1,2008,GB0001200723,,
Feelgood Svenska Ord Shs,0GMR.L^H21,0GMR,8,2021,SE0000221723,,
Vitrolife Ord Shs,0GN0.L^F18,0GN0,6,2018,,,
Vitrolife Ord Shs,0GN0.L^A08,0GN0,1,2008,GB00B6V9F139,,
SAS Ord Shs,0GNC.L^E09,0GNC,5,2009,,,
SAS Ord Shs,0GNC.L^A08,0GNC,1,2008,,,
Uniflex Ord Shs Class B,0GNE.L^L18,0GNE,12,2018,GB00BYVQMM07,,
Uniflex Ord Shs Class B,0GNE.L^A08,0GNE,1,2008,GB0000916287,,
Radisson Hospitality Ord Shs,0GNM.L^E08,0GNM,5,2008,,,
Radisson Hospitality Ord Shs,0GNM.L^G19,0GNM,7,2019,SE0000798829,,
Petro Welt Technologies Ord Shs,0GNN.L^D22,0GNN,4,2022,GB0000876168,,
Petro Welt Technologies Ord Shs,0GNN.L^E08,0GNN,5,2008,,,
Gunnebo Ord Shs,0GNX.L^L20,0GNX,12,2020,GB0008823493,,
Gunnebo Ord Shs,0GNX.L^A08,0GNX,1,2008,GB0000960103,,
Kappahl Ord Shs,0GO5.L^B18,0GO5,2,2018,CH0008525609,,
Kappahl Ord Shs,0GO5.L^A08,0GO5,1,2008,GB0000971878,,
Air Berlin Ord Shs,0GPE.L^G18,0GPE,7,2018,SE0000672354,,
Air Berlin Ord Shs,0GPE.L^E08,0GPE,5,2008,,,
Stockwik Forvaltning  Ord Shs,0GPT.L^K19,0GPT,11,2019,GB0000945534,,
Stockwik Forvaltning  Ord Shs,0GPT.L^A08,0GPT,1,2008,GB00B00XCN55,,
Meda A Ord Shs,0GSU.L^H16,0GSU,8,2016,SE0001785270,,
Meda A Ord Shs,0GSU.L^A08,0GSU,1,2008,GB0001207157,,
AAK Ord Shs,0GUV.L^A08,0GUV,1,2008,GB0001713154,,
AAK Ord Shs,0GUV.L^F18,0GUV,6,2018,,,
Axis Ord Shs,0GWC.L^A08,0GWC,1,2008,CY0009670817,,
Axis Ord Shs,0GWC.L^G19,0GWC,7,2019,DE0005937007,,
