Company Name,ISIN,CUSIP (extended),SEDOL Code,RIC
Kibo Energy PLC,IE00B97C0C31,G52573113,B97C0C3,KIBO.L
Baker Steel Resources Trust Ltd,GG00B6686L20,G0777Z106,B6686L2,BSRT.L
AvangardCo Investments Public Ltd,US05349V2097,05349V209,B3W9F88,AVGRq.L
Shaftesbury Capital PLC,GB00B62G9D36,G19406100,B62G9D3,SHCS.L
Ilika PLC,GB00B608Z994,G47602100,B608Z99,IKA.L
Capital Ltd,BMG022411000,G02241100,B58PK89,CAPD.L
Polar Capital Global Healthcare Trust PLC,GB00B6832P16,G71653110,B6832P1,PCGH.L
Jupiter Fund Management PLC,GB00B53P2009,G5207P107,B53P200,JUP.L
Tialis Essential IT PLC,GB00BN4M3M55,G4728B119,BN4M3M5,TIA.L
Ocado Group PLC,GB00B3MBS747,G6718L106,B3MBS74,OCDO.L
GCP Infrastructure Investments Ltd,JE00B6173J15,G3901C100,B6173J1,GCPI.L
DP Poland PLC,GB00B3Q74M51,G29023101,B3Q74M5,DPP.L
JPmorgan Global Emerging Markets Income Trust PLC,GB00B5ZZY915,G52062109,B5ZZY91,JEMI.L
Argos Resources Ltd,FK0114538241,P04982107,B61L0H0,ARGR.L
Scancell Holdings PLC,GB00B63D3314,G7856P123,B63D331,SCLP.L
Central Asia Metals PLC,GB00B67KBV28,G2069H109,B67KBV2,CAML.L
Avation PLC,GB00B196F554,G0713X108,B196F55,AVAP.L
Mercantile Ports & Logistics Ltd,GG00BKSH7R87,G5995J131,BKSH7R8,MPL.L
Instem PLC,GB00B3TQCK30,G4820D104,B3TQCK3,INS.L
Savannah Resources Plc,GB00B647W791,G7820U109,B647W79,SAVS.L
Foresight Solar & Technology VCT PLC,GB00B640GZ49,G3630N104,B640GZ4,FTSV.L
Gama Aviation PLC,GB00B3ZP1526,G3729H109,B3ZP152,GMAA.L
Zanaga Iron Ore Company Ltd,VGG9888M1023,G9888M102,B5W9W47,ZIOC.L
TMT Investments PLC,JE00B3RQZ289,G8922K106,B3RQZ28,TMTI.L
