Instrument,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE
PGG.L^D00,,,,,,,,,,,,,,,,,,,,,,,,,,
PER.L^C01,,,,,,,,,,,,,,,,,,,,,,,,,,
PEPJq.L^D00,,,,,,,,,,,,2000-10-03,,2000-10-03,53555697.1630996,2000-10-03,,,,,,,,2000-10-03,,
PEPJq.L^D00,,,,,,,,,,,1657358.92883783,2001-06-30,8079.10885673082,2001-06-30,-12277874.4194142,2001-06-30,,,,,,,91920930,2001-06-30,,
PEPJq.L^D00,,,,,,,,,,,6143496.24573379,2002-08-27,0.0,2002-08-27,21876061.6109215,2002-08-27,,,,,,,91920930,2002-08-27,,
PEPJq.L^D00,,,,,,,,,,,7278356.05890228,2003-08-26,-2354957.42971888,2003-08-26,584531.186077644,2003-08-26,,,,,,,91920930,2003-08-26,,
PELE.L^C12,,,,,,,,2005-01-13,,,,,,2005-01-13,,2005-01-13,,,,,,2005-01-13,,,,
PELE.L^C12,,,,,,,,2006-06-26,,,,,,2006-06-26,-3978243.94,2006-06-26,,,,,0.0,2006-06-26,,,,
PELE.L^C12,,,,,,,0.0,2007-06-12,,,,,18151028.08,2007-06-12,-19888838.16,2007-06-12,,,,,-36246.92,2007-06-12,,,,
PELE.L^C12,,,,,,,3526950.0,2008-07-14,,,,,188943.75,2008-07-14,-4008126.75,2008-07-14,,,,,-218167.05,2008-07-14,,,,
PELE.L^C12,,,,,,,0.0,2009-05-21,,,,,17092750.0,2009-05-21,-2675357.23,2009-05-21,,,,,-58115.35,2009-05-21,,,,
PELE.L^C12,,,,,,,,2010-04-07,,,,,0.0,2010-04-07,-7735523.84,2010-04-07,,,,,-209235.52,2010-04-07,,,,
PELE.L^C12,,,,,,,,2011-06-08,,,,,16026750.0,2011-06-08,-17671735.62,2011-06-08,,,,,-742359.06,2011-06-08,,,,
PECHaq.L^B98,,,,,,,,,,,404417355.2551,2001-03-16,-30866745.1830216,2001-03-16,197799142.601404,2001-03-16,,,,,,,1091040,2001-03-16,,
PECHaq.L^B98,,,,,,,,,,,526610155.909144,2002-03-11,-36127906.0449296,2002-03-11,142674612.007942,2002-03-11,,,,,,,1091040,2002-03-11,,
PECHaq.L^B98,,,,,,,,,,,415018798.412998,2003-01-29,-2606083.50651804,2003-01-29,-32576043.8314755,2003-01-29,,,,,,,1091040,2003-01-29,,
PEAL.L^C90,,,,,,,,,,,,,,,,,,,,,,,,,,
PEA.L^A06,,,,,402000.0,2000-05-26,,,,,,2000-05-26,45000000.0,2000-05-26,6759000.0,2000-05-26,,,,,,,,,,
PEA.L^A06,,,,,75000.0,2001-03-31,,,,,,2001-03-31,0.0,2001-03-31,8076000.0,2001-03-31,,,,,,,,,,
PEA.L^A06,,,,,66000.0,2002-05-22,,,,,,2002-05-22,,2002-05-22,11701000.0,2002-05-22,,,,,,,,,,
PEA.L^A06,,,,,495000.0,2003-05-28,,,,,42640000.0,2003-05-28,0.0,2003-05-28,13609000.0,2003-05-28,,,,,,,,,,
PEA.L^A06,,,,,411000.0,2004-06-02,,,,,40871000.0,2004-06-02,-610000.0,2004-06-02,22645000.0,2004-06-02,,,,,,,,,,
PEA.L^A06,,,,,521000.0,2005-05-31,,,,,55668000.0,2005-05-31,1393000.0,2005-05-31,25596000.0,2005-05-31,,,,,,,,,,
PDUF.L^A01,,,,,,,,,,,,,,,,,,,,,,,,,,
PDP.L^C06,,,,,,2002-03-31,,,,,,2002-03-31,,,9692000.0,2002-03-31,,,,2002-03-31,,2002-03-31,,,,
PDP.L^C06,,,,,,2003-03-31,,,,,,2003-03-31,,,10383000.0,2003-03-31,,,,2003-03-31,,2003-03-31,,,,
PDP.L^C06,,,,,,2004-12-16,,,,,,2004-12-16,,,12480000.0,2004-12-16,,,,2004-12-16,,2004-12-16,,,,
PDP.L^C06,,,,,435000.0,2005-05-16,,,,,7100000.0,2005-05-16,,,2950000.0,2005-05-16,,,2052000.0,2005-05-16,-1140000.0,2005-05-16,,,,
PDF.L^D10,,,,,,,,,,,,,,2005-12-31,,2005-12-31,,,,2005-12-31,,2005-12-31,,,,
PDF.L^D10,,,,,,,,,,,,,19526368.96,2007-09-14,-7291757.16,2007-09-14,,,,2007-09-14,,2007-09-14,,,,
PDF.L^D10,,,,,,,,,,,,,84142.95,2008-03-31,-9416956.5,2008-03-31,,,0.0,2008-03-31,0.0,2008-03-31,,,,
PDF.L^D10,,,,,,,,,,,,,17347917.4091,2009-04-23,-11758444.58,2009-04-23,,,0.0,2009-04-23,0.0,2009-04-23,,,,
PBHL.L^A09,,,,,,2002-10-31,,,,,,2002-10-31,,2002-10-31,,2002-10-31,,,,,,2002-10-31,,,,
PBHL.L^A09,,,,,37000.0,2004-01-19,,,,,,2004-01-19,2953000.0,2004-01-19,-1871000.0,2004-01-19,,,,,,2004-01-19,,,,
PBHL.L^A09,,,,,31000.0,2005-02-14,,,,,0.0,2005-02-14,69000.0,2005-02-14,-2730000.0,2005-02-14,,,,,389000.0,2005-02-14,,,,
PBHL.L^A09,,,,,20000.0,2006-01-31,,,,,907000.0,2006-01-31,0.0,2006-01-31,721000.0,2006-01-31,,,,,-1230000.0,2006-01-31,,,,
PBHL.L^A09,,,,,9000.0,2007-03-01,,,,,943000.0,2007-03-01,0.0,2007-03-01,245000.0,2007-03-01,,,,,181000.0,2007-03-01,,,,
PBHL.L^A09,,,,,5000.0,2008-07-22,,,,,816000.0,2008-07-22,,2008-07-22,-1000000.0,2008-07-22,,,,,99000.0,2008-07-22,,,,
PAIO.L^C09,,,,,4286.36173414419,2001-12-31,,2001-12-31,,2001-12-31,,,7917522.46035491,2001-12-31,-6018051.87473845,2001-12-31,,,,,,,,,,
PAIO.L^C09,,,,,17591.0636689968,2002-12-31,,2002-12-31,,2002-12-31,,,8502347.44001511,2002-12-31,-7079425.84545626,2002-12-31,,,,,,,,,,
PAIO.L^C09,,,,,14099.6564006394,2003-12-31,0.0,2003-12-31,0.0,2003-12-31,,,9298018.41340164,2003-12-31,-7658933.35682731,2003-12-31,,,,,,,,,,
PAIO.L^C09,,,,,198593.855498461,2005-03-09,16961.7527827867,2005-03-09,1313829.10096669,2005-03-09,,,6305531.59700096,2005-03-09,124386.187073769,2005-03-09,,,,,,,,,,
PAIO.L^C09,,,,,142401.804425816,2006-03-13,16510.3541363265,2006-03-13,1200440.33199541,2006-03-13,,,30979615.7425496,2006-03-13,-3271801.84468204,2006-03-13,,,,,,,,,,
PAIO.L^C09,,,,,89599.187131339,2007-03-16,16168.2743695649,2007-03-16,1159400.00791755,2007-03-16,,,5556496.95834048,2007-03-16,-11712567.4245523,2007-03-16,,,,,,,,,,
PAIO.L^C09,,,,,45574.0024801226,2008-03-03,17641.5493471442,2008-03-03,19846.7430155372,2008-03-03,,,0.0,2008-03-03,-7728468.74316143,2008-03-03,,,,,,,,,,
PAIO.L^C09,,,,,0.0,2009-03-17,1401041.16520597,2009-03-17,4944738.7372276,2009-03-17,,,-937531.6391999,2009-03-17,-12022576.9838275,2009-03-17,,,,,,,,,,
PAIO.L^C09,,,,,,2010-03-16,1316589.92612953,2010-03-16,3286613.91742541,2010-03-16,,,0.0,2010-03-16,-11553711.7975147,2010-03-16,,,,,,,,,,
PAIO.L^C09,,,,,,2011-03-23,1256893.39335162,2011-03-23,1923450.1171828,2011-03-23,,,403714.16480503,2011-03-23,-7935984.37442312,2011-03-23,,,,,,,,,,
PAIO.L^C09,,,,,,2012-03-14,602387.56776699,2012-03-14,1524488.60194175,2012-03-14,,,255167.477281553,2012-03-14,-11402416.4563107,2012-03-14,,,,,,,,,,
PAIO.L^C09,,,,,,2013-03-13,9020.13207198649,2013-03-13,31574.5217173316,2013-03-13,,,0.0,2013-03-13,12997441.9905795,2013-03-13,,,,,,,,,,
PAIO.L^C09,,,,,,2014-03-12,9223.61808285455,2014-03-12,23063.196250378,2014-03-12,,,,2014-03-12,-1836404.92591473,2014-03-12,,,,,,,,,,
PAIO.L^C09,,,,,,2015-03-18,19909.3306719894,2015-03-18,12949.2213149459,2015-03-18,,,19623492.3416198,2015-03-18,-7072566.39182242,2015-03-18,,,,,,,,,,
PAIO.L^C09,,,,,,2016-03-22,28679.0960132926,2016-03-22,4097.01371618466,2016-03-22,,,12895.2769843942,2016-03-22,-20788925.5190539,2016-03-22,,,,,,,,,,
PAIO.L^C09,,,,,,2017-02-07,4920802.9705635,2017-02-07,0.0,2017-02-07,,,4344363.95710681,2017-02-07,-17144831.4650967,2017-02-07,,,,,,,,,,
PAIO.L^C09,,,,,,2018-03-22,16788.3216372164,2018-03-22,,2018-03-22,,,4761233.71360708,2018-03-22,-10736562.2706062,2018-03-22,,,,,,,,,,
PAIO.L^C09,,,,,,2019-03-20,0.0,2019-03-20,,2019-03-20,,,2461627.01624002,2019-03-20,-8935802.26488669,2019-03-20,,,,,,,,,,
PAIO.L^C09,,,,,21669.1097011412,2020-03-26,,2020-03-26,,2020-03-26,,,0.0,2020-03-26,-5931586.93809833,2020-03-26,,,,,,,,,,
PAIO.L^C09,,,,,13782.4121885686,2021-03-19,,2021-03-19,,2021-03-19,,,17864.4357596483,2021-03-19,1984863.86394724,2021-03-19,,,,,,,,,,
PAIO.L^C09,,,,,475910.893981766,2022-03-30,,2022-03-30,,2022-03-30,,,4281584.73160085,2022-03-30,-18305730.4509697,2022-03-30,,,,,,,,,,
PAIO.L^C09,,,,,399877.782534247,2023-03-30,,2023-03-30,,2023-03-30,,,0.0,2023-03-30,-512232.823202055,2023-03-30,,,,,,,,,,
PACC.L^C16,,,,,,2000-03-06,,2000-03-06,,,29814041.9918433,2000-03-06,7137889.53224913,2000-03-06,788741.150999446,2000-03-06,,,,2000-03-06,,2000-03-06,,,,
PACC.L^C16,,,,,,2001-04-30,,2001-04-30,,,25946334.0274179,2001-04-30,0.0,2001-04-30,-3787790.58745937,2001-04-30,,,,2001-04-30,,2001-04-30,,,,
PACC.L^C16,,,,,,2002-04-30,,2002-04-30,,,17189535.2286994,2002-04-30,,2002-04-30,-7998963.33330365,2002-04-30,,,,2002-04-30,,2002-04-30,,,,
PACC.L^C16,,,,,,2003-03-07,,2003-03-07,,,6033083.31758927,2003-03-07,,2003-03-07,-10980081.3338371,2003-03-07,,,,2003-03-07,,2003-03-07,,,,
PACC.L^C16,,,,,,2004-04-29,,2004-04-29,,,5098435.7544712,2004-04-29,,2004-04-29,386330.585377519,2004-04-29,,,,2004-04-29,,2004-04-29,,,,
PACC.L^C16,,,,,,2005-04-26,,2005-04-26,,,5110434.76551378,2005-04-26,,2005-04-26,711686.877177759,2005-04-26,,,0.0,2005-04-26,122972.707675204,2005-04-26,,,,
PACC.L^C16,,,,,,2006-03-15,,2006-03-15,,,0.0,2006-03-15,,2006-03-15,-4728152.6657905,2006-03-15,,,121763.861755408,2006-03-15,155472.501450408,2006-03-15,,,,
PACC.L^C16,,,,,2197537.95806337,2007-02-27,,2007-02-27,,,0.0,2007-02-27,,2007-02-27,93641.2557237302,2007-02-27,,,-2021.03429619562,2007-02-27,-24252.4115543474,2007-02-27,,,,
PACC.L^C16,,,,,1262840.90743307,2008-06-23,,2008-06-23,,,2314718.28725655,2008-06-23,11900695.163761,2008-06-23,-1595090.08680429,2008-06-23,,,,2008-06-23,-677729.52075279,2008-06-23,,,,
PACC.L^C16,,,,,1207036.14710446,2009-06-30,,2009-06-30,,,6185224.02538405,2009-06-30,324934.513076418,2009-06-30,-3918327.95180386,2009-06-30,,,-3822.75897736962,2009-06-30,-68809.6615926532,2009-06-30,,,,
PACC.L^C16,,,,,,2010-06-29,,2010-06-29,,,7378639.17998053,2010-06-29,0.0,2010-06-29,-5458207.86806391,2010-06-29,,,2658.64971654355,2010-06-29,-25700.2805932543,2010-06-29,,,,
PACC.L^C16,,,,,41162.9456223664,2011-06-30,117485.907297171,2011-06-30,,,7469359.50772524,2011-06-30,,2011-06-30,-1152562.47742626,2011-06-30,,,81468.3298776002,2011-06-30,81468.3298776002,2011-06-30,,,,
PACC.L^C16,,,,,35831.1067961165,2012-06-29,117492.699029126,2012-06-29,,,6320440.58252427,2012-06-29,,2012-06-29,-2143200.15533981,2012-06-29,,,45830.4854368932,2012-06-29,-34164.5436893204,2012-06-29,,,,
PACC.L^C16,,,,,54396.8360776863,2013-06-28,,2013-06-28,,,6038860.69769896,2013-06-28,,2013-06-28,-2211596.73844205,2013-06-28,,,,2013-06-28,,2013-06-28,,,,
PACC.L^C16,,,,,,2014-06-27,,2014-06-27,,,,2014-06-27,,2014-06-27,-2754632.29513154,2014-06-27,,,,2014-06-27,,2014-06-27,,,,
PACC.L^C16,,,,,,2015-04-30,,2015-04-30,,,,2015-04-30,,2015-04-30,-1896163.72104276,2015-04-30,,,,2015-04-30,,2015-04-30,,,,
